database,year,title,authors,type,journal_or_source,volume,issue,pages,doi,url,other_urls,query
OpenAlex,1919,Committee on Academic Freedom and Academic Tenure,F. S. Deibler; John Lowes; G. J. Shaw Lefevre; Honor Miller; Edmund H. Hollands; Arthur O. Lovejoy; Geo. W. Bailey; Judson M. Bemis; John Campbell; George A. Fowler; Benjamin G. Griffith; Irving Howbert; Charles M. MacNeill; Henry McAllister; George Foster Peabody; Oliver H. Shoup; Elizabeth Shove; Philip B. Stewart; Mahlon D. Thatcher; Frank Trumbull; William M. Vance,article,Bulletin of the American Association of University Professors,,,,https://doi.org/10.2307/40216940,https://openalex.org/W2799354588,https://doi.org/10.2307/40216940,Arthur O. Lovejoy
OpenAlex,1931,The Revolt against Dualism: an Inquiry concerning the Existence of Ideas. By Arthur O. Lovejoy. (London: George Allen &amp; Unwin Ltd.1930. Pp. xii + 325. Price 15s.),L. Susan Stebbing,article,Philosophy,,,,https://doi.org/10.1017/s0031819100045277,https://openalex.org/W2122599892,https://doi.org/10.1017/s0031819100045277,Arthur O. Lovejoy
OpenAlex,1936,"Primitivism and Related Ideas in Antiquity. By Arthur O. Lovejoy and George Boas. With supplementary essays by W. F. Albright and P. E. Dumont. (Baltimore: Johns Hopkins Press; London: Oxford University Press, Humphrey Milford. 1935. Pp. xv + 482. Price $5; 22s.)",J. R. de la H. Marett,article,Philosophy,,,,https://doi.org/10.1017/s0031819100033878,https://openalex.org/W2108917390,https://doi.org/10.1017/s0031819100033878,Arthur O. Lovejoy
OpenAlex,1953,Lovejoy (Arthur O.) - Essays in the History of Ideas,Robert Derathé,article,Persée (Ministère de lEnseignement supérieur et de la Recherche); Revue française de science politique,,,,,https://openalex.org/W2336643767,https://dialnet.unirioja.es/servlet/articulo?codigo=5688194; https://www.persee.fr/doc/rfsp_0035-2950_1953_num_3_3_452727_t1_0629_0000_002,Arthur O. Lovejoy
OpenAlex,1919,Report of the Committee on Pensions and Insurance,Arthur O. Lovejoy; Harlan F. Stone,article,Bulletin of the American Association of University Professors,,,,https://doi.org/10.2307/40216900,https://openalex.org/W2799574429,https://doi.org/10.2307/40216900,Arthur O. Lovejoy
OpenAlex,1920,Report of the Committee of Inquiry on the Colorado School of Mines,M. F. Libby; Herbert S. Hadley; J. M. Coulter; H. O. Hofman; A. A. Potter; Arthur O. Lovejoy,article,Bulletin of the American Association of University Professors,,,,https://doi.org/10.2307/40216984,https://openalex.org/W2800364198,https://doi.org/10.2307/40216984,Arthur O. Lovejoy
OpenAlex,1921,Report of the Committee of Inquiry on Conditions in Washburn College,Arthur O. Lovejoy; Grace Van S. Baur; Raymond G. Gettell; Edgar James Swift; Ulysses G. Weatherly,article,Bulletin of the American Association of University Professors,,,,https://doi.org/10.2307/40217022,https://openalex.org/W2800192552,https://doi.org/10.2307/40217022,Arthur O. Lovejoy
OpenAlex,1917,"Academic Freedom and Academic Tenure: Report of the Committee of Inquiry concerning Charges of Violation of Academic Freedom, Involving the Dismissal of the President and Three Members of the Faculty, at the University of Montana",Charles A. Kofoid; Arthur O. Lovejoy; Guido H. Marx; Frederick Morgan Padelford,article,Bulletin of the American Association of University Professors,,,,https://doi.org/10.2307/40216834,https://openalex.org/W2800150754,https://doi.org/10.2307/40216834,Arthur O. Lovejoy
OpenAlex,1920,Michigan's millions of idle acres,P. S. Lovejoy; Fred E. Janette,book,Biodiversity Heritage Library (Smithsonian Institution); The Journal of the Abraham Lincoln Association,,,,https://doi.org/10.5962/bhl.title.26795,https://openalex.org/W2501489655,http://hdl.handle.net/2027/uc2.ark:/13960/t2x34p486; https://doi.org/10.5962/bhl.title.26795; https://www.biodiversitylibrary.org/bibliography/26795; https://www.biodiversitylibrary.org/item/69094,Arthur O. Lovejoy
Crossref,1931,Book Review:The Revolt Against Dualism. Arthur O. Lovejoy,Arthur E. Murphy,journal-article,Ethics,41,2,265,10.1086/207879,https://doi.org/10.1086/207879,,Arthur O. Lovejoy
